Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,,File,,,,,,
HC2-18-CC-43,-26.16,43.39,13.80,13.17,3.30,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-43,-26.18,46.25,13.85,13.99,3.31,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-44,-26.78,46.57,13.20,14.18,3.28,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-49,-26.82,46.55,12.90,13.82,3.37,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-13,-26.01,46.79,12.16,14.29,3.27,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-18,-26.03,46.78,13.37,13.94,3.36,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-19,-25.94,46.88,12.12,13.89,3.37,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-20,-26.02,44.77,11.50,14.04,3.19,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-35,-26.50,45.76,13.48,14.06,3.26,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-41,-26.58,46.01,12.85,14.03,3.28,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-BND-26,-28.82,48.01,15.37,12.37,3.88,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-SC-01,-29.43,53.22,-3.54,2.02,26.34,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-SC-02,-29.54,53.28,-3.45,2.03,26.24,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-SC-03,-29.34,53.76,-3.66,2.04,26.29,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CATA-01,-28.03,47.62,1.08,11.48,4.15,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CATA-01,-27.96,47.19,1.22,11.33,4.17,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CATA-01,-28.01,47.07,1.04,11.42,4.12,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CATA-02,-28.37,46.56,1.01,10.38,4.48,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CATA-03,-28.21,47.41,0.99,11.35,4.18,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-DET-01,-27.62,21.44,1.03,0.76,28.03,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-DET-02,-27.38,21.58,0.83,0.77,27.90,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-DET-03,-27.42,17.95,2.61,0.79,22.80,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-AL-01,-23.84,11.00,9.66,0.70,15.80,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-AL-02,-21.74,8.16,10.27,0.51,16.09,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-AL-03,-24.76,13.30,9.23,0.84,15.80,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-TR-01,-29.33,42.15,12.13,8.92,4.73,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-TR-02,-29.14,41.13,12.19,9.05,4.54,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-04,-26.88,47.35,13.19,13.35,3.55,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-05,-25.99,47.62,11.95,13.92,3.42,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-05,-26.20,47.15,12.12,14.02,3.36,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-05,-26.04,47.36,12.06,13.89,3.41,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-06,-25.75,47.40,11.49,13.93,3.40,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-07,-26.87,45.58,14.25,13.40,3.40,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-08,-26.31,47.53,13.85,14.10,3.37,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-09,-26.34,45.94,12.71,13.48,3.41,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-10,-26.61,46.18,10.50,13.61,3.39,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-11,-26.13,47.12,12.02,13.96,3.38,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-12,-26.68,46.41,13.45,13.58,3.42,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC3-18-CC-13,-25.75,45.76,12.59,13.51,3.39,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
,,,,,,,,,,,,,
EP41-18-CC-02,-25.26,45.24,8.12,13.53,3.34,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-CC-03,-25.22,44.52,9.16,13.09,3.40,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-CC-04,-26.37,46.49,7.74,13.12,3.54,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-CC-05,-29.40,45.76,7.94,13.51,3.39,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-CC-06,-30.11,46.94,8.45,13.42,3.50,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-CC-07,-26.14,46.09,9.69,13.70,3.36,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-CC-09,-25.62,44.84,10.28,13.43,3.34,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-BND-05,-33.68,47.35,7.13,12.61,3.75,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-BS-02,-28.39,40.79,8.73,11.96,3.41,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-SC-01,-29.90,44.11,1.56,4.46,9.89,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-SC-02,-29.75,44.24,1.65,4.55,9.72,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-SC-03,-29.68,43.84,1.84,4.33,10.12,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-HE-01,-26.98,45.80,-0.42,9.63,4.76,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-HE-02,-26.42,45.72,2.37,10.03,4.56,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-SU,-26.87,44.57,2.18,10.50,4.25,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-EP-01,-27.84,37.08,3.53,7.56,4.91,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-EP-02,-27.91,41.25,3.37,8.45,4.88,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-DT-01,-27.67,26.63,3.30,1.11,24.02,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-DT-02,-27.65,28.17,3.29,1.14,24.80,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-DT-03,-27.85,27.92,3.31,1.18,23.66,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-ALGAE-01,-27.63,11.32,0.22,1.22,9.25,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-AL-02,-27.91,11.46,0.29,1.23,9.30,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP41-18-CC-08,-27.96,46.30,8.30,12.88,3.59,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-01,-26.26,47.44,9.06,13.70,3.46,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-03,-25.36,46.49,9.87,13.38,3.47,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-07,-26.50,47.20,10.86,14.11,3.35,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-07,-26.57,47.79,10.70,14.45,3.31,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-07,-26.60,47.40,10.79,14.31,3.31,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-08,-26.13,47.03,8.46,14.14,3.33,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-09,-27.99,48.74,8.27,13.48,3.62,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-10,-29.74,47.66,8.31,13.85,3.44,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-11,-29.27,46.64,7.40,13.87,3.36,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-12,-29.30,47.49,8.36,13.28,3.58,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-SNAILS-02,-26.63,47.21,0.82,10.35,4.56,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-CC-13,-27.61,35.39,8.82,10.72,3.30,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-BND-10,-26.99,48.76,9.65,13.94,3.50,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-BS-05,-30.71,47.74,8.13,12.42,3.84,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-SC-01,-28.16,46.39,0.97,2.53,18.36,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-SC-02,-27.99,46.72,0.95,2.57,18.22,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-SC-03,-28.16,46.48,0.83,2.45,18.98,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-SNAILS-01 ,-26.45,47.41,0.62,10.56,4.49,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-SNAILS-03,-26.32,48.57,0.76,10.86,4.47,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-ALGAE-01,-27.58,13.18,1.70,1.34,9.84,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-AL-02,-31.23,13.23,9.44,1.31,10.07,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-AL-03,-30.80,12.69,9.21,1.25,10.12,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-DET-01,-27.85,30.10,0.15,1.27,23.70,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-DT-02,-27.79,28.33,0.24,1.24,22.85,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP42-18-DT-03,-27.67,25.85,0.66,1.12,23.18,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-01,-26.67,45.66,7.00,12.43,3.67,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-02,-26.51,47.20,7.55,13.64,3.46,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-03,-26.71,46.93,7.04,13.49,3.48,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-04,-27.73,47.69,6.88,13.77,3.46,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-05,-28.80,45.70,7.60,12.68,3.61,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-05,-28.79,45.81,7.57,12.63,3.63,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-05,-28.93,46.49,7.71,12.84,3.62,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-06,-26.10,47.20,9.90,13.88,3.40,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-07,-27.27,47.63,9.56,13.88,3.43,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-08,-27.85,47.61,9.14,13.16,3.62,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-09,-25.97,47.70,8.49,13.15,3.63,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-CC-10,-27.02,46.35,7.50,13.10,3.54,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-BND-02,-28.15,48.26,10.44,12.86,3.75,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-BS-02,-30.58,48.04,7.68,13.14,3.66,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-SC-01,-30.02,45.18,1.04,1.66,27.15,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-SC-02,-30.23,45.53,1.20,1.72,26.51,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
EP43-18-SC-03,-30.07,44.73,0.79,1.66,27.02,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
,,,,,,,,,,,,,
AT1-18-CC-03,-26.44,45.88,12.02,12.67,3.62,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-CC-04,-26.81,46.36,12.83,12.97,3.57,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-CC-05,-25.69,47.52,11.92,12.99,3.66,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT1-18-CC-06,-26.69,46.61,12.71,12.59,3.70,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-CC-07,-27.35,46.31,13.59,12.26,3.78,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-CC-08,-26.41,45.75,12.86,13.00,3.52,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-CC-09,-26.62,45.28,12.30,12.53,3.61,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-CC-10,-27.12,47.64,12.40,11.94,3.99,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-BS-04,-27.26,46.31,13.39,12.33,3.76,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-SC-01,-27.22,44.99,-0.22,3.47,12.98,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-SC-02,-27.26,44.58,-0.17,3.44,12.97,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-SC-03,-27.23,44.55,-0.32,3.33,13.39,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-TS-01,-25.74,46.91,2.19,10.08,4.66,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT1-18-TS-02,-26.58,44.36,1.53,8.35,5.32,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-TS-03,-26.27,44.69,1.41,9.22,4.85,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-AL-01,-27.65,19.36,10.41,1.53,12.69,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-AL-02,-26.88,17.56,10.40,1.42,12.36,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-AQS-01,-29.02,34.00,7.35,7.34,4.63,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-AQS-02,-28.93,33.63,7.70,7.52,4.47,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-AQS-03,-28.94,30.87,8.10,6.80,4.54,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-DT-01,-27.13,15.73,5.98,0.87,18.02,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-DT-02,-27.23,16.53,6.43,0.93,17.84,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT1-18-DT-03,-27.08,15.92,5.79,0.90,17.72,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-01,-26.25,45.84,13.31,13.18,3.48,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-02,-26.47,45.89,12.77,13.21,3.47,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-02,-26.40,45.96,13.13,13.45,3.42,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-02,-26.21,46.42,13.25,13.45,3.45,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-32,-26.28,45.53,13.90,12.26,3.71,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-33,-26.37,41.94,10.52,11.16,3.76,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-34,-25.64,43.38,12.14,12.14,3.57,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-35,-25.58,45.20,12.44,12.94,3.49,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-36,-26.81,44.70,12.36,11.82,3.78,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-38,-26.14,43.73,11.47,11.78,3.71,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-CC-39,-28.92,43.06,9.68,11.68,3.69,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-BS-01,-26.43,41.59,13.26,12.01,3.46,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-WS-33,-26.36,43.39,14.89,12.51,3.47,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-DT-01,-27.70,34.79,6.66,1.47,23.74,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-DT-02,-27.69,31.81,7.25,1.50,21.25,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-DT-03,-27.87,31.09,5.81,1.44,21.64,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-GH-03,-27.94,49.28,3.40,10.59,4.65,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-GH-03,-27.84,49.23,3.45,10.01,4.92,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-GH-03,-27.84,49.84,3.95,10.91,4.57,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-AL-01,-23.66,10.50,10.24,1.73,6.08,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-AL-02,-23.48,10.88,10.54,1.81,6.01,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-AL-03,-23.58,10.59,10.19,1.80,5.89,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-SC-01,-28.13,47.57,4.00,1.74,27.41,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-SC-02,-28.20,47.45,3.94,1.72,27.56,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-SC-03,-28.09,47.73,3.85,1.71,27.88,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-GH-01,-27.92,47.97,5.20,10.62,4.52,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-GH-02,-27.33,48.53,4.34,11.03,4.40,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-SN-01,-28.09,30.97,10.06,6.21,4.99,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-SN-02,-27.01,28.46,10.43,5.40,5.27,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT2-18-SN-03,-27.82,31.87,10.37,6.49,4.91,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-01,-26.10,47.48,14.91,13.53,3.51,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-02,-28.93,45.89,14.31,13.07,3.51,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-02,-28.83,45.60,14.07,13.27,3.44,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-02,-28.61,46.00,14.04,13.04,3.53,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-03,-27.66,44.97,17.65,12.42,3.62,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-04,-29.85,43.57,17.43,11.92,3.65,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-05,-27.45,44.25,16.26,11.83,3.74,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-06,-27.18,44.15,15.78,11.86,3.72,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-07,-24.98,46.21,15.13,13.59,3.40,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-08,-30.34,42.87,15.83,11.74,3.65,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-09,-27.64,45.53,16.75,13.38,3.40,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
AT3-18-CC-10,-26.35,46.63,13.09,13.61,3.43,,Marie Gutgesell Run #3 Part 1- May 2019,,,,,,
,,,,,,,,,,,,,
HC3-18-SC-01,-30.31,46.64,-1.62,2.11,22.10,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-SC-02,-30.30,46.56,-1.55,2.12,21.94,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-SC-03,-28.74,47.90,-0.29,2.37,20.19,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-SC-03,-30.29,46.57,-1.13,2.17,21.48,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-SC-03,-30.46,46.78,-1.63,2.11,22.17,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-CATA-01,-31.94,53.54,4.07,9.36,5.72,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-CATA-02,-29.94,49.89,1.93,10.28,4.85,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-CATB-01,-29.77,56.35,0.90,5.90,9.55,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-AL-01,-32.78,60.03,6.58,2.92,20.54,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-AL-02,-32.67,59.23,6.63,2.77,21.40,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-AM-01,-28.12,34.98,8.64,7.67,4.56,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-AM-02,-28.36,34.48,8.84,7.58,4.55,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-AM-03,-28.16,35.14,8.32,7.60,4.62,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-DT-01,-28.04,16.02,1.57,0.63,25.58,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-DT-02,-28.25,19.01,1.36,0.66,28.85,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
HC3-18-DT-03,-28.24,17.20,1.26,0.65,26.63,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-CC-01,-25.33,46.18,12.23,13.43,3.44,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP41-18-CC-01,-25.22,45.86,12.32,13.35,3.43,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
