Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,,File,,,,,,
HC1-18-CC-05,-25.34,44.98,12.71,13.42,3.35,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-06,-25.86,42.53,12.24,13.21,3.22,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-07,-26.49,46.44,13.11,13.60,3.42,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-08,-25.52,48.90,12.13,14.33,3.41,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-10,-26.45,49.06,13.45,14.20,3.45,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-15,-25.60,44.61,13.17,13.57,3.29,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-16,-25.93,45.71,13.35,14.23,3.21,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-17,-25.75,45.53,12.50,13.82,3.29,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-18,-25.89,46.98,11.47,13.45,3.49,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CC-19,-25.87,44.45,12.81,13.54,3.28,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-BND-03,-28.94,46.88,14.30,11.59,4.05,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-SC-01,-29.32,44.08,-1.62,3.96,11.13,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
HC1-18-SC-02,-29.40,44.51,-1.63,4.01,11.11,,Marie Gutgesell Run #2 Part 1- May 2019,,,,,,
HC1-18-SC-03,-28.74,51.82,-1.69,3.93,13.19,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-AL-01,-25.86,18.12,9.37,1.84,9.84,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-AL-02,-26.22,18.26,9.40,1.86,9.83,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-DT-01,-26.38,20.54,9.26,2.13,9.65,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-DT-02,-28.13,20.67,1.55,0.70,29.44,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-DT-03,-27.99,20.40,1.56,0.71,28.80,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CL-01,-31.37,45.52,10.12,7.87,5.79,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CL-02,-30.48,40.70,10.15,6.80,5.98,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CL-03,-31.47,44.57,10.17,7.74,5.76,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CA-01,-29.82,45.59,2.52,10.59,4.30,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC1-18-CA-02,-29.79,45.33,2.55,11.01,4.12,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-06,-26.01,46.99,12.45,13.96,3.37,"*WRONG CODE: FROM SUBMISSION FORM, THIS IS HC2-18-CC-6 (have dH data, and was missing cn data, no CA-6 exists so this is wrong)",Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
HC2-18-CC-43,-26.23,46.03,13.87,13.79,3.34,,Marie Gutgesell Run #1 Part 1- May 2019,,,,,,
