OurLabID,Sample ID,,Weight (mg),Delta 2H (‰),Ampl. (mV),% H,Comment run,Comment submission,Hatch Lab ID
G-26207,EP41-18-CC-03,,0.741,-87.98,4657,3.7,,Creek Chub,B1819-546-001
G-26208,EP41-18-CC-04,,0.664,-95.99,4265,3.9,,Creek Chub,B1819-546-002
G-26209,EP41-18-CC-05,,0.714,-94.55,5915,1.8,,Creek Chub,B1819-546-003
G-26210,EP41-18-CC-05,,0.760,-99.92,6726,1.9,,0,B1819-546-004
G-26211,EP41-18-CC-06,,0.725,-103.23,6260,1.8,,Creek Chub,B1819-546-005
G-26212,EP41-18-CC-07,,0.698,-93.30,6003,1.8,,Creek Chub,B1819-546-006
G-26213,EP41-18-CC-08,,0.748,-100.47,6568,1.9,,Creek Chub,B1819-546-007
G-26214,EP41-18-CC-09,,0.744,-94.37,6635,1.9,,Creek Chub,B1819-546-008
G-26215,EP41-18-SC-01,,0.831,-131.49,6704,1.7,,Canada Goldenrod,B1819-546-009
G-26216,EP41-18-SC-02,,0.841,-131.10,6576,1.7,,Canada Goldenrod,B1819-546-010
G-26217,EP41-18-SC-03,,0.824,-130.07,6585,1.7,,Canada Goldenrod,B1819-546-011
G-26218,EP41-18-HE-01,,0.757,-96.40,6251,1.8,,Snails (internal muscle),B1819-546-012
G-26219,EP41-18-HE-02,,0.756,-92.78,6379,1.8,,Snails (internal muscle),B1819-546-013
,EP41-18-SU,,0.812,-94.79,7303,1.7,,Snails (internal muscle),
,EP41-18-EP-01,,0.953,-174.61,7982,1.6,,Mayfly (benthic invertebrate),
G-26222,EP41-18-EP-01,,0.992,-173.24,7167,1.5,,0,B1819-546-016
G-26223,EP41-18-EP-02,,1.092,-172.81,8248,1.6,,Mayfly (benthic invertebrate),B1819-546-017
G-26224,EP41-18-DT-01,,0.747,-110.14,2655,0.9,,Detritus (conditioned leaves),B1819-546-018
G-26225,EP41-18-DT-02,,0.746,-109.11,2812,0.9,,Detritus (conditioned leaves),B1819-546-019
G-26226,EP41-18-DT-03,,0.826,-108.97,3301,0.9,,Detritus (conditioned leaves),B1819-546-020
G-26227,EP41-18-ALGAE-01,,3.151,-149.50,6209,0.4,,Algae,B1819-546-021
G-26228,EP41-18-AL-02,,3.094,-151.68,6445,0.4,,Algae,B1819-546-022
G-26229,EP42-18-CC-01,,0.641,-101.15,5448,1.9,,Creek Chub,B1819-546-023
G-26230,EP42-18-CC-03,,0.702,-100.83,6309,1.9,,Creek Chub,B1819-546-024
G-26231,EP42-18-CC-07,,0.694,-98.38,5925,1.8,,Creek Chub,B1819-546-025
G-26232,EP42-18-CC-08,,0.773,-94.60,6878,1.9,,Creek Chub,B1819-546-026
G-26233,EP42-18-CC-08,,0.634,-93.75,5497,1.9,,0,B1819-546-027
G-26234,EP42-18-CC-09,,0.711,-107.18,6315,1.9,,Creek Chub,B1819-546-028
G-26235,EP42-18-CC-10,,0.719,-105.43,6212,1.9,,Creek Chub,B1819-546-029
G-26236,EP42-18-CC-11,,0.767,-96.11,6663,1.9,,Creek Chub,B1819-546-030
G-26237,EP42-18-CC-12,,0.680,-104.19,6001,1.9,,Creek Chub,B1819-546-031
