OurLabID,Sample ID,,Weight (mg),Delta 2H (‰),Ampl. (mV),% Percent,Comment run,Comment submission,Hatch Lab ID
G-26171,HC2-18-DET-02,,0.772,-117.97,4876,1.5,,Detritus (conditioned leaves),B1819-545-045
G-26172,HC2-18-DET-02,,0.809,-120.77,4184,1.3,,Detritus (conditioned leaves),B1819-545-046
G-26173,HC2-18-DET-03,,0.776,-105.26,7840,2.2,,Detritus (conditioned leaves),B1819-545-047
G-26174,HC2-18-AL-01,,3.261,-149.74,15699,1.0,,Algae,B1819-545-048
G-26175,HC2-18-AL-02,,3.359,-163.23,11786,0.7,,Algae,B1819-545-049
G-26176,HC2-18-AL-03,,3.388,-170.50,12299,0.8,,Algae,B1819-545-050
G-26177,HC2-18-TR-01,,1.096,-122.59,16369,3.0,,Caddisfly (benthic invertebrate),B1819-545-051
G-26178,HC2-18-TR-02,,0.941,-129.19,14097,3.1,,Caddisfly (benthic invertebrate),B1819-545-052
G-26179,HC3-18-CC-04,,0.728,-116.96,12781,3.7,,Creek Chub,B1819-545-053
G-26180,HC3-18-CC-05,,0.735,-103.87,12966,3.7,,Creek Chub,B1819-545-054
G-26181,HC3-18-CC-06,,0.741,-99.78,12942,3.7,,Creek Chub,B1819-545-055
G-26182,HC3-18-CC-07,,0.728,-112.19,12519,3.6,,Creek Chub,B1819-545-056
G-26183,HC3-18-CC-08,,0.721,-101.91,12576,3.6,,Creek Chub,B1819-545-057
G-26184,HC3-18-CC-09,,0.715,-101.82,12384,3.6,,Creek Chub,B1819-545-058
G-26185,HC3-18-CC-10,,0.708,-98.65,12083,3.6,,Creek Chub,B1819-545-059
G-26186,HC3-18-CC-11,,0.717,-102.62,12303,3.6,,Creek Chub,B1819-545-060
G-26187,HC3-18-CC-12,,0.753,-106.26,13138,3.6,,Creek Chub,B1819-545-061
G-26188,HC3-18-CC-13,,0.731,-100.34,12721,3.6,,Creek Chub,B1819-545-062
G-26189,HC3-18-SC-01,,0.793,-152.86,12613,3.3,,Canada Goldenrod,B1819-545-063
G-26190,HC3-18-SC-01,,0.733,-156.51,11754,3.4,,Canada Goldenrod,B1819-545-064
G-26191,HC3-18-SC-02,,0.840,-132.62,12972,3.2,,Canada Goldenrod,B1819-545-065
G-26192,HC3-18-SC-03,,0.870,-143.97,14007,3.3,,Canada Goldenrod,B1819-545-066
G-26193,HC3-18-CATA-01,,0.708,-128.71,13383,3.9,,Caterpillar,B1819-545-067
G-26194,HC3-18-CATA-02,,0.723,-105.42,12823,3.7,,Caterpillar,B1819-545-068
G-26195,HC3-18-CATB-01,,0.747,-140.81,15360,4.2,,Caterpillar,B1819-545-069
G-26196,HC3-18-AL-01,,3.235,-136.47,26999,1.6,,Algae,B1819-545-070
G-26197,HC3-18-AL-02,,3.308,-143.45,24011,1.4,,Algae,B1819-545-071
G-26198,HC3-18-AM-01,,0.951,-110.28,11551,2.6,,Amphipod (benthic invertebrate),B1819-545-072
G-26199,HC3-18-AM-02,,1.052,-110.36,12911,2.6,,Amphipod (benthic invertebrate),B1819-545-073
G-26200,HC3-18-AM-03,,0.944,-111.15,11457,2.6,,Amphipod (benthic invertebrate),B1819-545-074
G-26201,HC3-18-AM-03,,1.101,-108.56,13627,2.6,,Amphipod (benthic invertebrate),B1819-545-075
G-26202,HC3-18-DT-01,,0.814,-118.65,4897,1.4,,Detritus (conditioned leaves),B1819-545-076
G-26203,HC3-18-DT-02,,0.749,-117.60,4008,1.3,,Detritus (conditioned leaves),B1819-545-077
G-26204,HC3-18-DT-03,,0.783,-113.92,4190,1.3,,Detritus (conditioned leaves),B1819-545-078
G-26205,EP41-18-CC-01,,0.708,-114.00,11934,3.6,,Creek Chub,B1819-545-079
G-26206,EP41-18-CC-02,,0.728,-94.43,12070,3.5,,Creek Chub,B1819-545-080
