OurLabID,Sample ID,,Weight (mg),Delta 2H (‰),Ampl. (mV),% Percent,Comment run,Comment submission,Hatch Lab ID
G-26127,HC1-18-CC-05,,0.771,-104.15,12677,3.4,,Creek Chub,B1819-545-001
G-26128,HC1-18-CC-06,,0.730,-100.97,12077,3.4,,Creek Chub,B1819-545-002
G-26129,HC1-18-CC-07,,0.647,-112.26,10771,3.5,,Creek Chub,B1819-545-003
G-26130,HC1-18-CC-08,,0.656,-104.76,10964,3.5,,Creek Chub,B1819-545-004
G-26131,HC1-18-CC-10,,0.660,-111.32,10896,3.5,,Creek Chub,B1819-545-005
G-26132,HC1-18-CC-10,,0.678,-110.27,10943,3.5,,Creek Chub,B1819-545-006
,HC1-18-CC-15,,0.700,-99.85,6386,3.5,,Creek Chub,
,HC1-18-CC-16,,0.682,-102.97,6329,3.5,,Creek Chub,
,HC1-18-CC-17,,0.657,-106.83,6097,3.6,,Creek Chub,
,HC1-18-CC-18,,0.706,-104.07,6766,3.7,,Creek Chub,
,HC1-18-CC-19,,0.849,-108.26,8434,3.8,,Creek Chub,
,HC1-18-SC-01,,0.797,-147.06,6998,3.2,,Canada Goldenrod,
G-26139,HC1-18-SC-02,,0.836,-138.99,13017,3.2,,Canada Goldenrod,B1819-545-013
G-26140,HC1-18-SC-03,,0.826,-140.72,12812,3.2,,Canada Goldenrod,B1819-545-014
G-26141,HC1-18-AL-01,,3.140,-178.41,16206,1.0,,Algae,B1819-545-015
G-26142,HC1-18-AL-02,,2.933,-183.48,17117,1.2,,Algae,B1819-545-016
G-26143,HC1-18-AL-02,,3.292,-185.43,18492,1.1,,Algae,B1819-545-017
G-26144,HC1-18-DT-01,,0.731,-122.24,3893,1.3,,Detritus (conditioned leaves),B1819-545-018
G-26145,HC1-18-DT-02,,0.817,-123.65,4271,1.3,,Detritus (conditioned leaves),B1819-545-019
G-26146,HC1-18-DT-03,,0.886,-121.09,5155,1.4,,Detritus (conditioned leaves),B1819-545-020
G-26147,HC1-18-CL-01,,1.035,-110.87,16567,3.3,,Clam (internal muscle tissue),B1819-545-021
G-26148,HC1-18-CL-02,,1.020,-108.95,15441,3.1,,Clam (internal muscle tissue),B1819-545-022
G-26149,HC1-18-CL-03,,1.064,-107.75,15280,2.9,,Clam (internal muscle tissue),B1819-545-023
G-26150,HC1-18-CL-03,,1.082,-106.66,16173,3.0,,Clam (internal muscle tissue),B1819-545-024
G-26151,HC1-18-CA-01,,0.695,-123.97,10907,3.3,,Caterpillar,B1819-545-025
G-26152,HC1-18-CA-02,,0.751,-121.03,12014,3.3,,Caterpillar,B1819-545-026
G-26153,HC2-18-CC-06,,0.714,-103.75,11874,3.5,,Creek Chub,B1819-545-027
G-26154,HC2-18-CC-43,,0.665,-106.19,10984,3.5,,Creek Chub,B1819-545-028
G-26155,HC2-18-CC-44,,0.765,-109.94,12678,3.5,,Creek Chub,B1819-545-029
G-26156,HC2-18-CC-49,,0.727,-107.93,12227,3.5,,Creek Chub,B1819-545-030
G-26157,HC2-18-CC-13,,0.763,-101.76,12655,3.4,,Creek Chub,B1819-545-031
G-26158,HC2-18-CC-18,,0.671,-108.46,11374,3.5,,Creek Chub,B1819-545-032
G-26159,HC2-18-CC-19,,0.750,-100.92,13030,3.6,,Creek Chub,B1819-545-033
G-26160,HC2-18-CC-20,,0.662,-97.80,10931,3.5,,Creek Chub,B1819-545-034
G-26161,HC2-18-CC-20,,0.727,-95.94,12160,3.5,,Creek Chub,B1819-545-035
G-26162,HC2-18-CC-35,,0.667,-109.38,10975,3.5,,Creek Chub,B1819-545-036
G-26163,HC2-18-CC-41,,0.704,-102.46,11892,3.5,,Creek Chub,B1819-545-037
G-26164,HC2-18-SC-01,,0.856,-165.45,13583,3.3,,Canada Goldenrod,B1819-545-038
G-26165,HC2-18-SC-02,,0.809,-164.50,12438,3.2,,Canada Goldenrod,B1819-545-039
G-26166,HC2-18-SC-03,,0.856,-162.45,13562,3.3,,Canada Goldenrod,B1819-545-040
G-26167,HC2-18-CATA-01,,0.712,-120.76,11486,3.4,,Caterpillar,B1819-545-041
G-26168,HC2-18-CATA-02,,0.726,-104.91,11711,3.4,,Caterpillar,B1819-545-042
G-26169,HC2-18-CATA-03,,0.756,-99.61,12016,3.4,,Caterpillar,B1819-545-043
G-26170,HC2-18-DET-01,,0.744,-120.37,4079,2.1,,Detritus (conditioned leaves),B1819-545-044
