Sampling_month,Sampling_year,sitecode,sitename,pass,species,fish_number,sampleid,forkmm,totalmm,weight_g,kept,sex,stomach_content,stomachsource,Notes
August,2018,AC,Archie Coulter,2,rock bass,5,AC-S18-311-5,25,26,0.5,N,,,,
August,2018,AC,Archie Coulter,2,rock bass,6,AC-S18-311-6,23,25,0.2,N,,,,
August,2018,AC,Archie Coulter,2,stonecat,1,AC-S18-235-1,NA,35,0.5,N,,,,
August,2018,AC,Archie Coulter,2,johnny darter,11,AC-S18-341-11,NA,31,0.2,N,,,,
August,2018,AC,Archie Coulter,2,creek chub,4,AC-S18-212-4,45,48,1.3,Y,I,algae/detritus,both,
August,2018,AC,Archie Coulter,2,johnny darter,12,AC-S18-341-12,NA,31,0.2,N,,,,
August,2018,AC,Archie Coulter,2,creek chub,5,AC-S18-212-5,50,55,2,Y,F,algae/detritus,both,
August,2018,AC,Archie Coulter,3,common shiner,1,AC-S18-198-1,85,92,7.7,Y,F,bugs/algae,aquatic,
July,2018,BW,Backus Woods,1,brown trout,1,BW-S18-078-1,270,285,237,Y,M,"Cray Fish, Fly Beetle",both,
July,2018,BW,Backus Woods,1,brown trout,2,BW-S18-078-2,228,240,126,Y,F,"Grubs, insects, fish",both,
July,2018,BW,Backus Woods,1,brown trout,3,BW-S18-078-3,174,186,67.5,Y,M,Caddisfly larvae,aquatic,
July,2018,BW,Backus Woods,2,brown trout,4,BW-S18-078-4,184,196,71.5,Y,M,"Grubs, Flies",terrestrial,
July,2018,BW,Backus Woods,2,brown trout,5,BW-S18-078-5,269,255,216,Y,M,terrestrial and aquatic insects,both,
July,2018,BW,Backus Woods,2,brown trout,6,BW-S18-078-6,270,284,213.5,Y,F,Insects,unknown,
July,2018,BW,Backus Woods,1,white sucker,1,BW-S18-163-1,NA,255,137,Y,,detritus,terrestrial,
July,2018,BW,Backus Woods,2,white sucker,2,BW-S18-163-2,33,35,0.3,Y,M,,,
July,2018,BW,Backus Woods,2,white sucker,3,BW-S18-163-3,274,290,254.5,Y,M,,,
July,2018,BW,Backus Woods,2,white sucker,4,BW-S18-163-4,180,190,79,Y,M,detritus,terrestrial,
July,2018,BW,Backus Woods,2,white sucker,5,BW-S18-163-5,131,139,30.5,Y,M,,,
July,2018,BW,Backus Woods,1,bluntnose minnow,1,BW-S18-208-1,57,62,2,N,,,,
July,2018,BW,Backus Woods,1,johnny darter,1,BW-S18-341-1,NA,54,1.5,Y,F,unkown,unknown,
July,2018,BW,Backus Woods,1,johnny darter,2,BW-S18-341-2,NA,48,1,Y,M,unkown,unknown,
July,2018,BW,Backus Woods,1,johnny darter,3,BW-S18-341-3,NA,41,0.5,Y,M,unkown,unknown,
July,2018,BW,Backus Woods,1,blacknose dace,1,BW-S18-630-1,64,66,4,Y,F,,,
July,2018,BW,Backus Woods,3,blacknose dace,10,BW-S18-630-10,79,84,5.5,Y,M,Insects,unknown,
July,2018,BW,Backus Woods,1,blacknose dace,2,BW-S18-630-2,43,45,1,Y,Unidentifiable,detritus,terrestrial,
July,2018,BW,Backus Woods,1,blacknose dace,3,BW-S18-630-3,50,53,2,Y,M,insects,unknown,
July,2018,BW,Backus Woods,2,blacknose dace,4,BW-S18-630-4,70,74,4,Y,F,mayfly,aquatic,
July,2018,BW,Backus Woods,2,blacknose dace,5,BW-S18-630-5,79,84,6.5,Y,M,Insect,unknown,
July,2018,BW,Backus Woods,3,blacknose dace,6,BW-S18-630-6,87,92,8,Y,Unidentifiable,,,
July,2018,BW,Backus Woods,3,blacknose dace,7,BW-S18-630-7,74,79,5,Y,M,Insects,unknown,
July,2018,BW,Backus Woods,3,blacknose dace,8,BW-S18-630-8,70,73,4,Y,M,Insects,unknown,
July,2018,BW,Backus Woods,3,blacknose dace,9,BW-S18-630-9,53,57,2,Y,M,Insects,unknown,
August,2018,SC,Caughell,1,rock bass,1,SC-S18-311-1,69,72,7,N,,,,
August,2018,SC,Caughell,1,johnny darter,1,SC-S18-341-1,NA,46,1,N,,,,
August,2018,SC,Caughell,1,creek chub,1,SC-S18-212-1,64,68,3.5,Y,M,empty,empty,
August,2018,SC,Caughell,1,johnny darter,2,SC-S18-341-2,NA,52,1,N,,,,
August,2018,SC,Caughell,1,johnny darter,3,SC-S18-341-3,NA,44,1,N,,,,
August,2018,SC,Caughell,1,johnny darter,4,SC-S18-341-4,NA,53,1.5,N,,,,
