,date_iD,Date,Site_ID,sample code,subset sample code,lot code (#),provisional ID (order),family ID,abundance,notes,Replicate,small,medium,big,notes
,2018-07-06,2018-05-14,HC,HC-BM-14.05.18,HC-BM-14.05.18-S,HC-BM-14.05.18-S-5,Bivalva,,3,E5,Rep_1,,,,
,14/6/2018,2018-05-17,AT,AT-BM-17.05.18,AT-BM-17.05.18-S,AT-BM-17.05.18-S-1,Plecoptera,Perlodidae,19,G3,Rep_1,46,1,,"C7, C8"
,14/6/2018,2018-05-17,AT,AT-BM-17.05.18,AT-BM-17.05.18-S,AT-BM-17.05.18-S-2,diptera,Chironomidae A,4,G4,Rep_1,,,,
,14/6/2018,2018-05-17,AT,AT-BM-17.05.18,AT-BM-17.05.18-S,AT-BM-17.05.18-S-3,Diptera,Chironomidae L,9,G5,Rep_1,,,,
,14/6/2018,2018-05-17,AT,AT-BM-17.05.18,AT-BM-17.05.18-S,AT-BM-17.05.18-S-4,annelida,,5,G6,Rep_1,,,,
,14/6/2018,2018-05-17,AT,AT-BM-17.05.18,AT-BM-17.05.18-S,AT-BM-17.05.18-S-5,Gastropoda,,9,G7,Rep_1,,,,
,14/6/2018,2018-05-17,AT,AT-BM-17.05.18,AT-BM-17.05.18-S,AT-BM-17.05.18-S-6,acari,,1,G8,Rep_1,,,,
,14/6/2018,2018-05-17,EP4,EP4-BM-17.05.18,EP4-BM-17.05.18-S,EP4-BM-17.05.18-S-1,diptera,Chironomidae L,11,F9,Rep_1,26,,1,"C5, C6"
,14/6/2018,2018-05-17,EP4,EP4-BM-17.05.18,EP4-BM-17.05.18-S,EP4-BM-17.05.18-S-2,Gastropoda,,9,F10,Rep_1,,,,
,14/6/2018,2018-05-17,EP4,EP4-BM-17.05.18,EP4-BM-17.05.18-S,EP4-BM-17.05.18-S-3,annelida,,6,G1,Rep_1,,,,
,14/6/2018,2018-05-17,EP4,EP4-BM-17.05.18,EP4-BM-17.05.18-S,EP4-BM-17.05.18-S-4,Coleoptera,Elmidae,1,G2,Rep_1,,,,
,2018-08-06,2018-05-17,HC,HC-BM-17.05.18,HC-BM-17.05.18-S,HC-BM-17.05.18-S-1,Amphipoda,,14,F3,Rep_1,32,14,1,"C2, C3, C4"
,2018-08-06,2018-05-17,HC,HC-BM-17.05.18,HC-BM-17.05.18-S,HC-BM-17.05.18-S-2,Diptera,Chironomidae A,13,F4,Rep_1,,,,
,2018-08-06,2018-05-17,HC,HC-BM-17.05.18,HC-BM-17.05.18-S,HC-BM-17.05.18-S-3,Diptera,Chironomidae L,8,F5,Rep_1,,,,
,2018-08-06,2018-05-17,HC,HC-BM-17.05.18,HC-BM-17.05.18-S,HC-BM-17.05.18-S-4,Coleoptera,Staphylinidae,1,F6,Rep_1,,,,
,2018-08-06,2018-05-17,HC,HC-BM-17.05.18,HC-BM-17.05.18-S,HC-BM-17.05.18-S-5,annelida,,7,F7,Rep_1,,,,
,2018-08-06,2018-05-17,HC,HC-BM-17.05.18,HC-BM-17.05.18-S,HC-BM-17.05.18-S-6,Coleoptera,Elmidae,4,F8,Rep_1,,,,
,2018-07-06,2018-05-10,HC,HC-BM-10.05.18,HC-BM-10.05.18-S,HC-BM-10.05.18-S-1,Amphipoda,,9,D7,Rep_1,10,9,,"B6,  B7"
,2018-07-06,2018-05-10,HC,HC-BM-10.05.18,HC-BM-10.05.18-S,HC-BM-10.05.18-S-2,Plecoptera,Perlodidae,1,D8,Rep_1,,,,
,2018-07-06,2018-05-10,HC,HC-BM-10.05.18,HC-BM-10.05.18-S,HC-BM-10.05.18-S-3,Diptera,chironomidae,6,D9,Rep_1,,,,
,2018-07-06,2018-05-10,HC,HC-BM-10.05.18,HC-BM-10.05.18-S,HC-BM-10.05.18-S-4,Gastropoda,,3,D10,Rep_1,,,,
,18/6/2018,2018-05-21,AT,AT-BM-21.05.18,AT-BM-21.05.18-S,AT-BM-21.05.18-S-1,annelida,,16,added small and med together,Rep_1,12,4,,
,18/6/2018,2018-05-21,AT,AT-BM-21.05.18,AT-BM-21.05.18-S,AT-BM-21.05.18-S-2,Coleoptera,dytiseridae,1,I1,Rep_1,,,,"D2, D3"
,18/6/2018,2018-05-21,AT,AT-BM-21.05.18,AT-BM-21.05.18-S,AT-BM-21.05.18-S-3,Plecoptera,Perlodidae,4,I2,Rep_1,,,,
,18/6/2018,2018-05-21,AT,AT-BM-21.05.18,AT-BM-21.05.18-S,AT-BM-21.05.18-S-4,Diptera,Chironomidae L,6,I3,Rep_1,,,,
,18/6/2018,2018-05-21,AT,AT-BM-21.05.18,AT-BM-21.05.18-S,AT-BM-21.05.18-S-5,Bivalva,,2,I4,Rep_1,,,,
,18/6/2018,2018-05-21,AT,AT-BM-21.05.18,AT-BM-21.05.18-S,AT-BM-21.05.18-S-6,Gastropoda,,3,I5,Rep_1,,,,
,18/6/2018,2018-05-21,EP4,EP4-BM-21.05.18,EP4-BM-21.05.18-S,EP4-BM-21.05.18-S-1,Diptera,Chironomidae L,14,H6,Rep_1,18,,,D1
,18/6/2018,2018-05-21,EP4,EP4-BM-21.05.18,EP4-BM-21.05.18-S,EP4-BM-21.05.18-S-2,Diptera,Chironomidae A,4,H7,Rep_1,,,,
,18/6/2018,2018-05-21,EP4,EP4-BM-21.05.18,EP4-BM-21.05.18-S,EP4-BM-21.05.18-S-3,Gastropoda,,4,H8,Rep_1,,,,
,18/6/2018,2018-05-21,EP4,EP4-BM-21.05.18,EP4-BM-21.05.18-S,EP4-BM-21.05.18-S-4,Bivalva,,1,H9,Rep_1,,,,
,15/6/2018,2018-05-21,HC,HC-BM-21.05.18,HC-BM-21.05.18-S,HC-BM-21.05.18-S-1,Amphipoda,,13,G9,Rep_1,55,,3,"C9, C10"
,15/6/2018,2018-05-21,HC,HC-BM-21.05.18,HC-BM-21.05.18-S,HC-BM-21.05.18-S-2,annelida,,3,G10,Rep_1,,,,
,15/6/2018,2018-05-21,HC,HC-BM-21.05.18,HC-BM-21.05.18-S,HC-BM-21.05.18-S-3,Diptera,Chironomidae L,18,H1,Rep_1,,,,
,15/6/2018,2018-05-21,HC,HC-BM-21.05.18,HC-BM-21.05.18-S,HC-BM-21.05.18-S-4,Diptera,Chironomidae A,4,H2,Rep_1,,,,
,15/6/2018,2018-05-21,HC,HC-BM-21.05.18,HC-BM-21.05.18-S,HC-BM-21.05.18-S-5,Gastropoda,,9,H3,Rep_1,,,,
