"","HC_spring.HC_spring","HC_summer.HC_spring","HC_fall.HC_spring","EP4_spring.HC_spring","EP4_summer.HC_spring","EP4_fall.HC_spring","AT_spring.HC_spring","AT_summer.HC_spring","AT_fall.HC_spring","HC_spring.HC_summer","HC_summer.HC_summer","HC_fall.HC_summer","EP4_spring.HC_summer","EP4_summer.HC_summer","EP4_fall.HC_summer","AT_spring.HC_summer","AT_summer.HC_summer","AT_fall.HC_summer","HC_spring.HC_fall","HC_summer.HC_fall","HC_fall.HC_fall","EP4_spring.HC_fall","EP4_summer.HC_fall","EP4_fall.HC_fall","AT_spring.HC_fall","AT_summer.HC_fall","AT_fall.HC_fall","HC_spring.EP4_spring","HC_summer.EP4_spring","HC_fall.EP4_spring","EP4_spring.EP4_spring","EP4_summer.EP4_spring","EP4_fall.EP4_spring","AT_spring.EP4_spring","AT_summer.EP4_spring","AT_fall.EP4_spring","HC_spring.EP4_summer","HC_summer.EP4_summer","HC_fall.EP4_summer","EP4_spring.EP4_summer","EP4_summer.EP4_summer","EP4_fall.EP4_summer","AT_spring.EP4_summer","AT_summer.EP4_summer","AT_fall.EP4_summer","HC_spring.EP4_fall","HC_summer.EP4_fall","HC_fall.EP4_fall","EP4_spring.EP4_fall","EP4_summer.EP4_fall","EP4_fall.EP4_fall","AT_spring.EP4_fall","AT_summer.EP4_fall","AT_fall.EP4_fall","HC_spring.AT_spring","HC_summer.AT_spring","HC_fall.AT_spring","EP4_spring.AT_spring","EP4_summer.AT_spring","EP4_fall.AT_spring","AT_spring.AT_spring","AT_summer.AT_spring","AT_fall.AT_spring","HC_spring.AT_summer","HC_summer.AT_summer","HC_fall.AT_summer","EP4_spring.AT_summer","EP4_summer.AT_summer","EP4_fall.AT_summer","AT_spring.AT_summer","AT_summer.AT_summer","AT_fall.AT_summer","HC_spring.AT_fall","HC_summer.AT_fall","HC_fall.AT_fall","EP4_spring.AT_fall","EP4_summer.AT_fall","EP4_fall.AT_fall","AT_spring.AT_fall","AT_summer.AT_fall","AT_fall.AT_fall"
"2.5%",NA,0,0,0,0,6,0,0,0,0,NA,1,0,0,0,0,0,0,0,13,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,16,0,1,0,0,NA,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA
"97.5%",NA,1,9,2,9,31,0,1,0,1,NA,10,0,4,2,0,0,0,19,96,NA,0,12,30,0,0,0,1,0,0,NA,22,6,31,5,22,8,3,2,9,NA,6,90,6,32,79,11,31,6,15,NA,0,1,0,0,0,0,2,12,0,NA,2,9,0,0,0,7,33,0,84,NA,50,0,0,0,5,14,1,27,3,NA
