,HC_spring.HC_spring,HC_summer.HC_spring,HC_fall.HC_spring,EP4_spring.HC_spring,EP4_summer.HC_spring,EP4_fall.HC_spring,AT_spring.HC_spring,AT_summer.HC_spring,AT_fall.HC_spring,HC_spring.HC_summer,HC_summer.HC_summer,HC_fall.HC_summer,EP4_spring.HC_summer,EP4_summer.HC_summer,EP4_fall.HC_summer,AT_spring.HC_summer,AT_summer.HC_summer,AT_fall.HC_summer,HC_spring.HC_fall,HC_summer.HC_fall,HC_fall.HC_fall,EP4_spring.HC_fall,EP4_summer.HC_fall,EP4_fall.HC_fall,AT_spring.HC_fall,AT_summer.HC_fall,AT_fall.HC_fall,HC_spring.EP4_spring,HC_summer.EP4_spring,HC_fall.EP4_spring,EP4_spring.EP4_spring,EP4_summer.EP4_spring,EP4_fall.EP4_spring,AT_spring.EP4_spring,AT_summer.EP4_spring,AT_fall.EP4_spring,HC_spring.EP4_summer,HC_summer.EP4_summer,HC_fall.EP4_summer,EP4_spring.EP4_summer,EP4_summer.EP4_summer,EP4_fall.EP4_summer,AT_spring.EP4_summer,AT_summer.EP4_summer,AT_fall.EP4_summer,HC_spring.EP4_fall,HC_summer.EP4_fall,HC_fall.EP4_fall,EP4_spring.EP4_fall,EP4_summer.EP4_fall,EP4_fall.EP4_fall,AT_spring.EP4_fall,AT_summer.EP4_fall,AT_fall.EP4_fall,HC_spring.AT_spring,HC_summer.AT_spring,HC_fall.AT_spring,EP4_spring.AT_spring,EP4_summer.AT_spring,EP4_fall.AT_spring,AT_spring.AT_spring,AT_summer.AT_spring,AT_fall.AT_spring,HC_spring.AT_summer,HC_summer.AT_summer,HC_fall.AT_summer,EP4_spring.AT_summer,EP4_summer.AT_summer,EP4_fall.AT_summer,AT_spring.AT_summer,AT_summer.AT_summer,AT_fall.AT_summer,HC_spring.AT_fall,HC_summer.AT_fall,HC_fall.AT_fall,EP4_spring.AT_fall,EP4_summer.AT_fall,EP4_fall.AT_fall,AT_spring.AT_fall,AT_summer.AT_fall,AT_fall.AT_fall
2.50%,NA,0,2,0,3,30,0,0,0,0,NA,9,0,0,0,0,0,0,3,82,NA,0,1,18,0,0,0,0,0,0,NA,2,0,0,0,1,2,0,0,1,NA,1,74,2,14,75,0,18,0,4,NA,0,0,0,0,0,0,0,9,0,NA,0,2,0,0,0,0,9,0,17,NA,2,0,0,0,0,8,0,7,1,NA
97.50%,NA,57,43,18,43,85,1,4,1,9,NA,41,0,16,12,0,0,0,97,100,NA,11,41,91,0,3,0,64,0,7,NA,83,46,100,33,100,36,94,35,28,NA,27,100,30,78,100,100,91,74,81,NA,45,13,81,0,0,0,10,50,1,NA,9,34,57,14,11,81,97,40,100,NA,100,0,0,0,25,48,4,87,16,NA
